Identifier	Character	Dialogue	Filename	Line Number	Ren'Py Script
fc9dc7e2		init python: code_entered = "" open_count = 0 correct_code = "1120" renpy.music.register_channel('test_three', 'sfx', False) numbl = 0 numbc = 0 numbr = 0	game/script.rpy	32	"[what]"
5d962a4e		label safe: "Какую комбинацию мне ввести?" show code_display show screen keypad	game/script.rpy	32	"[what]"
e8fb4975		screen keypad():	game/script.rpy	32	"[what]"
d4b9ebca		tag menu	game/script.rpy	32	"[what]"
72bfd525		imagemap: ground 'images/safe/safe_panel.png' idle 'images/safe/safe_panel.png' hover 'images/safe/safe_panel1_.png'	game/script.rpy	32	"[what]"
b6896b46		hotspot(750, 420, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "1")] hotspot(810, 420, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "2")] hotspot(872, 420, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "3")] hotspot(750, 484, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "4")] hotspot(810, 484, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "5")] hotspot(872, 484, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "6")] hotspot(750, 542, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "7")] hotspot(810, 542, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "8")] hotspot(872, 542, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "9")] hotspot(750, 603, 56, 53) action [Play('test_three', 'safe.mp3'), SetVariable("code_entered", code_entered + "0")] hotspot(810, 603, 114, 53) action [Play('test_three', 'safe.mp3'), Call("check_code")]	game/script.rpy	32	"[what]"
85542991		screen code_display:	game/script.rpy	32	"[what]"
aa5b9b86		text "[code_entered]" xpos 1000 ypos 500 size 30 color "white"	game/script.rpy	32	"[what]"
4d0a8a9d		label check_code: if code_entered == correct_code: jump open_safe else: $ open_count += 1 jump wrong_code	game/script.rpy	32	"[what]"
951406c8		if open_count == 3: jump start12	game/script.rpy	32	"[what]"
